0.1,1.0
-0.1,1.0
0.1,-1.0
-0.1,-1.0
1.0,0.1
1.0,-0.1
-1.0,0.1
-1.0,-0.1
-10.000000,58032.000000
-9.999000,58010.589844
-9.997999,57989.191406
-9.996999,57967.796875
-9.995998,57946.406250
-9.994998,57925.019531
-9.993998,57903.644531
-9.992997,57882.269531
-9.991997,57860.898438
-9.990996,57839.542969
-9.989996,57818.187500
-9.988996,57796.835938
-9.987995,57775.500000
-9.986995,57754.160156
-9.985994,57732.828125
-9.984994,57711.500000
-9.983994,57690.183594
-9.982993,57668.863281
-9.981993,57647.566406
-9.980992,57626.257812
-9.979992,57604.960938
-9.978992,57583.667969
-9.977991,57562.386719
-9.976991,57541.109375
-9.975990,57519.835938
-9.974990,57498.566406
-9.973989,57477.308594
-9.972989,57456.054688
-9.971989,57434.804688
-9.970988,57413.558594
-9.969988,57392.324219
-9.968987,57371.093750
-9.967987,57349.867188
-9.966987,57328.644531
-9.965986,57307.433594
-9.964986,57286.218750
-9.963985,57265.023438
-9.962985,57243.828125
-9.961985,57222.636719
-9.960984,57201.449219
-9.959984,57180.273438
-9.958983,57159.097656
-9.957983,57137.925781
-9.956983,57116.765625
-9.955982,57095.613281
-9.954982,57074.464844
-9.953981,57053.320312
-9.952981,57032.179688
-9.951981,57011.042969
-9.950980,56989.917969
-9.949980,56968.796875
-9.948979,56947.687500
-9.947979,56926.574219
-9.946979,56905.472656
-9.945978,56884.375000
-9.944978,56863.285156
-9.943977,56842.199219
-9.942977,56821.121094
-9.941977,56800.039062
-9.940976,56778.976562
-9.939976,56757.910156
-9.938975,56736.863281
-9.937975,56715.804688
-9.936975,56694.765625
-9.935974,56673.722656
-9.934974,56652.691406
-9.933973,56631.660156
-9.932973,56610.640625
-9.931973,56589.625000
-9.930972,56568.617188
-9.929972,56547.609375
-9.928971,56526.617188
-9.927971,56505.621094
-9.926970,56484.636719
-9.925970,56463.648438
-9.924970,56442.679688
-9.923969,56421.707031
-9.922969,56400.742188
-9.921968,56379.781250
-9.920968,56358.835938
-9.919968,56337.886719
-9.918967,56316.949219
-9.917967,56296.011719
-9.916966,56275.082031
-9.915966,56254.164062
-9.914966,56233.242188
-9.913965,56212.328125
